rank,document_ID,query,model,name,address,provinsi,kabko,kecamatan,mosque_type,rating,similarity
1,34546,Masjid Jami,MiniLM,Masjid Jamiliyah,kp selaawi RT2/RW02 Situhiang Pagelaran Cianjur Regency West Java 43266 Indonesia,JAWA BARAT,CIANJUR,PAGELARANG,masjid,5.0,0.90613866
2,50042,Masjid Jami,MiniLM,Masjid Jamie A. Baeli Putra,Linggajati Sukaratu Tasikmalaya Regency West Java 46415 Indonesia,JAWA BARAT,TASIKMALAYA,SUKARATU,masjid,4.6,0.9026221
3,29768,Masjid Jami,MiniLM,Masjid Jami Ciwaru,Jl Ciwaru Purwasedar Kec Ciracap Kabupaten Sukabumi Jawa Barat 43176 Indonesia,JAWA BARAT,SUKABUMI,CIRACAP,masjid,0.0,0.8998015
4,3211,Masjid Jami,MiniLM,Masjid Jami Ciwaru,Ciwaru Rangkasbitung Bar Kec Rangkasbitung Kabupaten Lebak Banten 42312 Indonesia,BANTEN,LEBAK,RANGKASBITUNG,masjid,5.0,0.8998015
5,149061,Masjid Jami,MiniLM,Masjid Jammi,Bogares Kidul Tegal Regency Central Java Indonesia,JAWA TENGAH,TEGAL,KEDUNGBANTENG,masjid,5.0,0.8990407
6,211670,Masjid Jami,MiniLM,Masjid Jambu,Jl Jambu Sampang Agung Kutorejo Jambu Jiyu Kec Kutorejo Kabupaten Mojokerto Jawa Timur 61383 Indonesia,JAWA TIMUR,MOJOKERTO,KUTOREJO,masjid,4.7,0.8983592
7,33883,Masjid Jami,MiniLM,Masjid jamie,Mekar Sari Cikalongkulon Cianjur Regency West Java 43291 Indonesia,JAWA BARAT,CIANJUR,CIKALONGKULON,masjid,0.0,0.89694154
8,29015,Masjid Jami,MiniLM,Masjid jamie,Jl Cirasamala Cihamerang Kec Kabandungan Kabupaten Sukabumi Jawa Barat 43368 Indonesia,JAWA BARAT,SUKABUMI,KABANDUNGAN,masjid,4.0,0.89694154
9,26469,Masjid Jami,MiniLM,Masjid jamie,Tanjungsari Bogor Regency West Java 16840 Indonesia,JAWA BARAT,BOGOR,TANJUNGSARI,masjid,0.0,0.89694154
10,36040,Masjid Jami,MiniLM,Masjid Jamie,Kp Gelar padang Jl Raya Cijati Cibodas Kec Cijati Kabupaten Cianjur Jawa Barat 43284 Indonesia,JAWA BARAT,CIANJUR,CIJATI,masjid,0.0,0.8969414
1,118221,Mushola Al Hidayah,MiniLM,MUSHOLLA AL HIDAYAH KAJEN, Unnamed Road Dusun I Bonyokan Kec Jatinom Kabupaten Klaten Jawa Tengah 57481 Indonesia,JAWA TENGAH,KLATEN,TULUNG,mushola,5.0,0.9056861
2,206085,Mushola Al Hidayah,MiniLM,Muholla Al Hidayah,Baujeng Kec Beji Pasuruan Jawa Timur 67154 Indonesia,JAWA TIMUR,PASURUAN,BEJI,musholla,4.7,0.9054868
3,135437,Mushola Al Hidayah,MiniLM,Mushola Al-Hidayah Ngabean, Ngabean Pringapus Kec Pringapus Kabupaten Semarang Jawa Tengah 50214 Indonesia,JAWA TENGAH,SEMARANG,PRINGAPUS,mushola,5.0,0.9035621
4,200920,Mushola Al Hidayah,MiniLM,Mushallah Al Hidayah,Sempol Kec Ijen Kabupaten Bondowoso Jawa Timur 68288 Indonesia,JAWA TIMUR,BONDOWOSO,SEMPOL,musholla,5.0,0.90323734
5,242042,Mushola Al Hidayah,MiniLM,AL-HIDAYAH (MUSHOLLA),Musalla ·  Jl Pucang Anom,JAWA TIMUR,KOTA MADIUN,KARTOHARJO,musholla,5.0,0.90310144
6,219780,Mushola Al Hidayah,MiniLM,AL-HIDAYAH (MUSHOLLA),Jl Pucang Anom Manisrejo Kec Taman Kota Madiun Jawa Timur 63138 Indonesia,JAWA TIMUR,MADIUN,MADIUN,musholla,5.0,0.90310144
7,233019,Mushola Al Hidayah,MiniLM,mushola putri Al Hidayah,Dereng Ngasin Kec Balongpanggang Kabupaten Gresik Jawa Timur 61173 Indonesia,JAWA TIMUR,GRESIK,BALONGPANGGANG,mushola,0.0,0.90191823
8,222875,Mushola Al Hidayah,MiniLM,Muhsola Al-hidayah,Gg Randu Ijo Sambirobyong II Geneng Kec Geneng Kabupaten Ngawi Jawa Timur 63271 Indonesia,JAWA TIMUR,NGAWI,GENENG,musholla,0.0,0.89279497
9,127181,Mushola Al Hidayah,MiniLM,Musholla Al Hidayah Ustadz Azen, Unnamed Road Pasuruan Pasuruhan Kec Kayen Kabupaten Pati Jawa Tengah 59171 Indonesia,JAWA TENGAH,PATI,KAYEN,mushola,0.0,0.8920033
10,145798,Mushola Al Hidayah,MiniLM,Musholla Al-Hidayah Pundung Gede, Pundung Gede RT08/RWXV Kadipiro Kec Banjarsari Kota Surakarta Jawa Tengah 57136 Indonesia,JAWA TENGAH,KOTA SURAKARTA,JEBRES,mushola,48.0,0.8918917
1,191428,Masjid Al Muttaqin,MiniLM,AL MUTTAQIIN MOSQUE,Krajan Wonorejo Kec Kedungjajang Kabupaten Lumajang Jawa Timur 67358 Indonesia,JAWA TIMUR,LUMAJANG,KEDUNGJAJANG,masjid,5.0,0.9684848
2,17003,Masjid Al Muttaqin,MiniLM,Al-Muttaqien Mosque,Duri Kepa West Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KEBON JERUK,masjid,4.8,0.9683433
3,14670,Masjid Al Muttaqin,MiniLM,Al-Muttaqien Mosque,Kramat Central Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,SENEN,masjid,5.0,0.9683433
4,241334,Masjid Al Muttaqin,MiniLM,Al-Muttaqien Mosque,Mojolangu Malang City East Java Indonesia,JAWA TIMUR,KOTA MALANG,LOWOKWARU,masjid,4.8,0.96834326
5,89697,Masjid Al Muttaqin,MiniLM,Al-Muhtadin Mosque,Jl Sukamaju Cipadung Kulon Kec Panyileukan Kota Bandung Jawa Barat 40614 Indonesia,JAWA BARAT,KOTA BANDUNG,PANYILEUKAN,masjid,4.7,0.96528786
6,81450,Masjid Al Muttaqin,MiniLM,Jami Al-Muttaqiin Mosque,Cibarusahkota Cibarusah Bekasi Regency West Java 17340 Indonesia,JAWA BARAT,BEKASI,CIBARUSAH,masjid,4.5,0.9644462
7,18395,Masjid Al Muttaqin,MiniLM,Jami' Al-Muttaqiin Mosque,Kramat Pela South Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,KEBAYORAN BARU,masjid,4.8,0.96444607
8,64129,Masjid Al Muttaqin,MiniLM,Masjid Al Mulisin,Sukatali Situraja Sumedang Regency West Java 45371 Indonesia,JAWA BARAT,SUMEDANG,SITURAJA,masjid,4.3,0.9631732
9,18567,Masjid Al Muttaqin,MiniLM,Jami' Al-Mujtamiin Mosque,Jl Warung Jati Barat I No6 RT6/RW3 Kalibata Kec Pancoran Kota Jakarta Selatan Daerah Khusus Ibukota Jakarta 12740 Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,PANCORAN,masjid,4.8,0.9630555
10,174899,Masjid Al Muttaqin,MiniLM,Masjid Al Muslihun,Nglempung Sukoharjo Kec Bandung Kabupaten Tulungagung Jawa Timur 66274 Indonesia,JAWA TIMUR,TULUNGAGUNG,BANDUNG,masjid,5.0,0.96196324
1,91748,Masjid Baiturrahman,MiniLM,Baiturrahman Mosque,Mosque ·  · Jl Baru Plenongan Gg Masjid No54,JAWA BARAT,KOTA DEPOK,PANCORAN MAS,masjid,4.8,0.9610501
2,90463,Masjid Baiturrahman,MiniLM,Baiturrahman Mosque,Mosque ·  · Jl Mirah Jl Permata Hijau Permai No5 RT007/RW017,JAWA BARAT,KOTA BEKASI,BEKASI UTARA,masjid,4.8,0.9610501
3,90442,Masjid Baiturrahman,MiniLM,Baiturrahman Mosque,Mosque ·  · Jl Mirah Jl Permata Hijau Permai No5 RT007/RW017,JAWA BARAT,KOTA BEKASI,BEKASI UTARA,masjid,4.8,0.9610501
4,41643,Masjid Baiturrahman,MiniLM,Baiturrahman Mosque,Sukaratu Banyuresmi Garut Regency West Java 44191 Indonesia,JAWA BARAT,GARUT,BANYURESMI,masjid,4.9,0.9610501
5,89432,Masjid Baiturrahman,MiniLM,Baiturrahman Mosque,Cibiru Wetan Bandung Regency West Java Indonesia,JAWA BARAT,KOTA BANDUNG,CIBIRU,masjid,4.8,0.96105003
6,77515,Masjid Baiturrahman,MiniLM,Baiturrahman Mosque,Mosque · Masjid Baiturrahman (Kebalen) Jl Nusa Indah,JAWA BARAT,BEKASI,BABELAN,masjid,4.8,0.96105003
7,69590,Masjid Baiturrahman,MiniLM,Baiturrahman Mosque,Pusakaratu Pusakanagara Subang Regency West Java 41255 Indonesia,JAWA BARAT,SUBANG,PUSAKANAGARA,masjid,4.8,0.96105003
8,21679,Masjid Baiturrahman,MiniLM,Baiturrahman Mosque,Cipenjo Cileungsi Bogor Regency West Java 16820 Indonesia,JAWA BARAT,BOGOR,CILEUNGSI,masjid,4.7,0.96105003
9,16101,Masjid Baiturrahman,MiniLM,Baiturrahman Mosque,Mosque ·  · PT Taman Impian Jaya Ancol No 7 PT Taman Impian Jaya Binaria No7 RW10,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,PADEMANGAN,masjid,4.8,0.96105003
10,16005,Masjid Baiturrahman,MiniLM,Baiturrahman Mosque,Mosque ·  · PT Taman Impian Jaya Ancol No 7 PT Taman Impian Jaya Binaria No7 RW10,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,PADEMANGAN,masjid,4.8,0.96105003
1,143794,Masjid At Taqwa,MiniLM,At-Taqwa Mosque Ngareanak,Ngareanak Kendal Regency Central Java Indonesia,JAWA TENGAH,KENDAL,SINGOROJO,masjid,5.0,0.9487122
2,17266,Masjid At Taqwa,MiniLM,At-Taqwa Mosque,Jl Kemanggisan No29 2 RT2/RW9 Palmerah Kec Palmerah Kota Jakarta Barat Daerah Khusus Ibukota Jakarta 11480 Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,PAL MERAH,masjid,4.8,0.94681525
3,16409,Masjid At Taqwa,MiniLM,At-Taqwa Mosque,Duri Kosambi West Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,CENGKARENG,masjid,4.8,0.94681525
4,15929,Masjid At Taqwa,MiniLM,At-Taqwa Mosque,RT2/RW9 West Semper Cilincing North Jakarta City Jakarta 14130 Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,CILINCING,masjid,5.0,0.94681525
5,14417,Masjid At Taqwa,MiniLM,At-Taqwa Mosque,Karang Anyar Central Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,SAWAH BESAR,masjid,4.7,0.94681525
6,14396,Masjid At Taqwa,MiniLM,At-Taqwa Mosque,RW10 North Gunung Sahari Sawah Besar Central Jakarta City Jakarta 14410 Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,SAWAH BESAR,masjid,4.7,0.94681525
7,13762,Masjid At Taqwa,MiniLM,At-Taqwa Mosque,Jl Legoso Raya No38 RT4/RW7 Pisangan Kec Ciputat Tim Kota Tangerang Selatan Banten 15419 Indonesia,BANTEN,KOTA TANGERANG SELATAN,CIPUTAT,masjid,5.0,0.94681525
8,13652,Masjid At Taqwa,MiniLM,At-Taqwa Mosque,Pondok Benda Pamulang South Tangerang City Banten 15416 Indonesia,BANTEN,KOTA TANGERANG SELATAN,CIPUTAT,masjid,4.8,0.94681525
9,11833,Masjid At Taqwa,MiniLM,At-Taqwa Mosque,RT001/RW010 Pajang Benda Tangerang City Banten 15126 Indonesia,BANTEN,KOTA TANGERANG,NEGLASARI,masjid,4.7,0.94681525
10,6096,Masjid At Taqwa,MiniLM,At-Taqwa Mosque,Jatimulya Tangerang Regency Banten Indonesia,BANTEN,TANGERANG,KOSAMBI,masjid,4.0,0.94681525
1,87097,Masjid Al Falah,MiniLM,Masjid Al-Falaah,Ciroyom Bandung City West Java Indonesia,JAWA BARAT,KOTA BANDUNG,ANDIR,masjid,5.0,0.96253455
2,73781,Masjid Al Falah,MiniLM,Masjid Al-Falaah,Kutagandok Karawang West Java Indonesia,JAWA BARAT,KARAWANG,RENGASDENGKLOK,masjid,4.6,0.96253455
3,61474,Masjid Al Falah,MiniLM,Masjid Al-Falaah,Jl Winusakti Gunungmanik Kec Talaga Kabupaten Majalengka Jawa Barat 45466 Indonesia,JAWA BARAT,MAJALENGKA,TALAGA,masjid,4.6,0.96253455
4,61447,Masjid Al Falah,MiniLM,Masjid Al-Falaah,Muktisari Cingambul Majalengka Regency West Java 45467 Indonesia,JAWA BARAT,MAJALENGKA,TALAGA,masjid,4.8,0.96253455
5,54318,Masjid Al Falah,MiniLM,masjid al-falaah,Jl Masjid Al Falah Tembong Kec Garawangi Kabupaten Kuningan Jawa Barat 45571 Indonesia,JAWA BARAT,KUNINGAN,GARAWANGI,masjid,5.0,0.96253455
6,54297,Masjid Al Falah,MiniLM,Masjid Al-Falaah,Cineumbeuy Lebakwangi Kuningan Regency West Java 45574 Indonesia,JAWA BARAT,KUNINGAN,LEBAKWANGI,masjid,5.0,0.96253455
7,48065,Masjid Al Falah,MiniLM,Masjid Al Falaah,Jayaputra Sariwangi Tasikmalaya Regency West Java 46465 Indonesia,JAWA BARAT,TASIKMALAYA,SALAWU,masjid,4.2,0.96253455
8,22652,Masjid Al Falah,MiniLM,Masjid Al Falaah,Educational institution ·  · Jl Raya Kemang Parung Bogor No82,JAWA BARAT,BOGOR,KEMANG,masjid,4.8,0.96253455
9,22570,Masjid Al Falah,MiniLM,Masjid Al Falaah,Educational institution ·  · Jl Raya Kemang Parung Bogor No82,JAWA BARAT,BOGOR,KEMANG,masjid,4.8,0.96253455
10,11297,Masjid Al Falah,MiniLM,Masjid Al-Falaah,Ketapang Tangerang City Banten Indonesia,BANTEN,KOTA TANGERANG,CIPONDOH,masjid,4.8,0.96253455
1,19728,Masjid Istiqlal Jakarta,MiniLM,Masjid An-Nur Jakarta Timur,Mosque · Jl Delima I Blok 13 Rt 005/003 Perumnas Klender RT5/RW3,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,DUREN SAWIT,masjid,4.7,0.90720356
2,19561,Masjid Istiqlal Jakarta,MiniLM,Dewan Masjid Indonesia Provinsi DKI Jakarta,Jl Kramat Jaya Raya & Jl Lkr Islamic Center RW1 Tugu Utara Kec Koja Jkt Utara Daerah Khusus Ibukota Jakarta 14260 Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,CAKUNG,masjid,4.5,0.905016
3,14665,Masjid Istiqlal Jakarta,MiniLM,Masjid Al istiaanah jakarta,RT10/RW9 Kramat Senen Central Jakarta City Jakarta 10540 Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,SENEN,masjid,4.3,0.90496004
4,64550,Masjid Istiqlal Jakarta,MiniLM,Masjid Al-Awal Indonesia,Gunungmanik Sumedang Regency West Java Indonesia,JAWA BARAT,SUMEDANG,TANJUNGSARI,masjid,5.0,0.9034042
5,17550,Masjid Istiqlal Jakarta,MiniLM,Masjid Baitulmaqdis Indonesia,East Tebet South Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,TEBET,masjid,5.0,0.89983684
6,19262,Masjid Istiqlal Jakarta,MiniLM,"Masjid At Taubah, Samsat Jakarta Timur",RT12/RW6 South Cipinang Besar Jatinegara East Jakarta City Jakarta 13410 Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,JATINEGARA,masjid,5.0,0.89960796
