rank,document_ID,query,model,name,address,provinsi,kabko,kecamatan,mosque_type,rating,similarity
6,121197,Masjid Istiqlal,BGE-M3,Masjid Istiqlal, Sokoalas Soka Karangdowo Klaten Regency Central Java 57464 Indonesia,JAWA TENGAH,KLATEN,KARANGDOWO,masjid,46.0,0.8572131
7,116607,Masjid Istiqlal,BGE-M3,Masjid Istiqlal, Karangtengah Girirejo Kec Kaliangkrik Kabupaten Magelang Jawa Tengah 56153 Indonesia,JAWA TENGAH,MAGELANG,KALIANGKRIK,masjid,5.0,0.8572131
8,101749,Masjid Istiqlal,BGE-M3,Masjid Istiqlal, Rejosari Kemiri Kec Mojosongo Kabupaten Boyolali Jawa Tengah 57482 Indonesia,JAWA TENGAH,BOYOLALI,MOJOSONGO,masjid,5.0,0.8572131
9,27359,Masjid Istiqlal,BGE-M3,Masjid Masjid Istiqlal,JL Cibuhung Bantargadung Sukabumi Kabupaten Sukabumi Jawa Barat 43363 Indonesia,JAWA BARAT,SUKABUMI,BANTARGADUNG,masjid,0.0,0.834694
10,130146,Masjid Istiqlal,BGE-M3,Masjid Al-Istiqlal,Kerjasan Pejaten Kudus Regency Central Java Indonesia,JAWA TENGAH,KUDUS,KOTA KUDUS,masjid,47.0,0.8061674
1,87590,Masjid Raya Bandung,BGE-M3,Masjid bandung,Citarum Bandung Wetan Bandung City West Java 40115 Indonesia,JAWA BARAT,KOTA BANDUNG,BANDUNG WETAN,masjid,5.0,0.7440343
2,236734,Masjid Raya Bandung,BGE-M3,Masjid Bandung,Bandung Tambelangan Kec Tambelangan Kabupaten Sampang Jawa Timur 69253 Indonesia,JAWA TIMUR,SAMPANG,TAMBELANGAN,masjid,5.0,0.74403423
3,89022,Masjid Raya Bandung,BGE-M3,Masjid bandung,Cijaura Buahbatu Bandung City West Java 40287 Indonesia,JAWA BARAT,KOTA BANDUNG,BUAHBATU,masjid,5.0,0.74403423
4,38322,Masjid Raya Bandung,BGE-M3,Masjid Agung Raya Bandung,Ancolmekar Arjasari Bandung Regency West Java 40379 Indonesia,JAWA BARAT,BANDUNG,ARJASARI,masjid,4.5,0.7431811
5,236681,Masjid Raya Bandung,BGE-M3,Masjid Raya,Jl Raya Kecodur Kedundung Maeran Daleman Kec Kedungdung Kabupaten Sampang Jawa Timur 69252 Indonesia,JAWA TIMUR,SAMPANG,KEDUNGDUNG,masjid,4.5,0.736443
6,181772,Masjid Raya Bandung,BGE-M3,Masjid Raya,Kepung Kediri Regency East Java Indonesia,JAWA TIMUR,KEDIRI,KEPUNG,masjid,5.0,0.736443
7,89572,Masjid Raya Bandung,BGE-M3,Masjid Raya,Pasirwangi Bandung City West Java Indonesia,JAWA BARAT,KOTA BANDUNG,UJUNGBERUNG,masjid,4.7,0.736443
8,225515,Masjid Raya Bandung,BGE-M3,MASJID RAYA BAITURRAHMAN,Mosque ·  Jl Raya PUD Brambang,JAWA TIMUR,BOJONEGORO,KEDUNGADEM,masjid,4.3,0.714301
9,161949,Masjid Raya Bandung,BGE-M3,Masjid Raya Labbaik,Ngestiharjo Bantul Regency Special Region of Yogyakarta Indonesia,DAERAH ISTIMEWA YOGYAKARTA,BANTUL,KASIHAN,islamic_center,48.0,0.71143997
10,186841,Masjid Raya Bandung,BGE-M3,Masjid Raya Jabung,Dusun Krajan Jabung Kec Jabung Kabupaten Malang Jawa Timur 65155 Indonesia,JAWA TIMUR,MALANG,JABUNG,masjid,4.7,0.70606124
1,34437,Masjid Al Ikhlas,BGE-M3,Masjid Al-Iqhlas,Mosque · Kode Pos: Jl Kp Pasir Luhur Neglasari Kec Kadupandak Kab Cianjur Perovinsi Jawa Barat RT:04/RW:01,JAWA BARAT,CIANJUR,KADUPANDAK,masjid,0.0,0.9045793
2,33089,Masjid Al Ikhlas,BGE-M3,Masjid Al-Iqhlas,Mosque · Jl Kp Pasir Luhur Neglasari Kec Kadupandak Kab Cianjur Perovinsi Jawa Barat RT:04/RW:01 Kode Pos:,JAWA BARAT,CIANJUR,BONJOGPICUNG,masjid,0.0,0.9045793
3,119221,Masjid Al Ikhlas,BGE-M3,Masjid Al Iklhlas, Karang_mojo Sranten Kec Karanggede Kabupaten Boyolali Jawa Tengah 57381 Indonesia,JAWA TENGAH,BOYOLALI,KARANGGEDE,masjid,5.0,0.8924891
4,2871,Masjid Al Ikhlas,BGE-M3,Masjid al ikahlas,Cisampang Gunungkencana Lebak Regency Banten 42354 Indonesia,BANTEN,LEBAK,GUNUNGKENCANA,masjid,0.0,0.88872474
5,46762,Masjid Al Ikhlas,BGE-M3,Masjid Al Ihlas,Tonjong Pancatengah Tasikmalaya Regency West Java 46194 Indonesia,JAWA BARAT,TASIKMALAYA,PANCATENGAH,masjid,5.0,0.88486415
6,46211,Masjid Al Ikhlas,BGE-M3,Masjid Al Ihlas,Cigadog Sucinaraja Garut Regency West Java 44115 Indonesia,JAWA BARAT,GARUT,SUCINARAJA,masjid,0.0,0.88486415
7,45354,Masjid Al Ikhlas,BGE-M3,Masjid Al Ihlas,Mekarbakti Bungbulang Garut Regency West Java 44165 Indonesia,JAWA BARAT,GARUT,PAMULIHAN,masjid,5.0,0.88486415
8,44217,Masjid Al Ikhlas,BGE-M3,Masjid Al-Ihlas,Sukawangi Singajaya Garut Regency West Java 44173 Indonesia,JAWA BARAT,GARUT,SINGAJAYA,masjid,0.0,0.88486415
9,43359,Masjid Al Ikhlas,BGE-M3,Masjid Al Ihlas,Sindangsari Cigedug Garut Regency West Java 44116 Indonesia,JAWA BARAT,GARUT,CIGEDUG,masjid,5.0,0.88486415
10,42890,Masjid Al Ikhlas,BGE-M3,Masjid Al ihlas,Campaka Malangbong Garut Regency West Java 44188 Indonesia,JAWA BARAT,GARUT,MALANGBONG,masjid,0.0,0.88486415
1,39370,Masjid Nurul Huda,BGE-M3,Masjid Nurull Hudda,Jl Cibulakan Mekarsari Kec Pacet Kabupaten Bandung Jawa Barat 40385 Indonesia,JAWA BARAT,BANDUNG,PACET,masjid,5.0,0.87614375
2,38438,Masjid Nurul Huda,BGE-M3,Masjid Nurulhuda,Jalan Cimaung Bandung Regency West Java 40374 Indonesia,JAWA BARAT,BANDUNG,CIMAUNG,masjid,4.8,0.8694165
3,36283,Masjid Nurul Huda,BGE-M3,Masjid Nurulhuda,Ramasari Haurwangi Cianjur Regency West Java 43283 Indonesia,JAWA BARAT,CIANJUR,HAURWANGI,masjid,4.6,0.8694165
4,33246,Masjid Nurul Huda,BGE-M3,Masjid Nurulhuda,Gg Ivay Sovian Jamali Kec Mande Kabupaten Cianjur Jawa Barat 43292 Indonesia,JAWA BARAT,CIANJUR,MANDE,masjid,5.0,0.8694165
5,32566,Masjid Nurul Huda,BGE-M3,MASJID NURULHUDA,jln Raya Cibeber Jati Cimanggu Kec Cibeber Kabupaten Cianjur Jawa Barat 43262 Indonesia,JAWA BARAT,CIANJUR,CIBEBER,masjid,5.0,0.8694165
6,31507,Masjid Nurul Huda,BGE-M3,masjid nurulhuda,Sukamanah Gegerbitung Sukabumi Regency West Java 43197 Indonesia,JAWA BARAT,SUKABUMI,GEGERBITUNG,masjid,5.0,0.8694165
7,29483,Masjid Nurul Huda,BGE-M3,Masjid Nurulhuda,Sukaluyu Sukabumi Regency West Java Indonesia,JAWA BARAT,SUKABUMI,KALIBUNDER,masjid,0.0,0.8694165
8,29482,Masjid Nurul Huda,BGE-M3,MASJID NURULHUDA,Sukaluyu Kalibunder Sukabumi Regency West Java 43185 Indonesia,JAWA BARAT,SUKABUMI,KALIBUNDER,masjid,0.0,0.8694165
9,2999,Masjid Nurul Huda,BGE-M3,MASJID NURULHUDA,Mekarjaya Lebak Regency Banten Indonesia,BANTEN,LEBAK,CILELES,masjid,4.8,0.8694165
10,166,Masjid Nurul Huda,BGE-M3,Masjid Nurulhuda,Mendung Cibaliung Pandeglang Regency Banten 42284 Indonesia,BANTEN,PANDEGLANG,CIBALIUNG,masjid,4.7,0.8694165
1,149061,Masjid Jami,BGE-M3,Masjid Jammi,Bogares Kidul Tegal Regency Central Java Indonesia,JAWA TENGAH,TEGAL,KEDUNGBANTENG,masjid,5.0,0.8825301
2,37556,Masjid Jami,BGE-M3,Masjid Jami,Banyusari Bandung Regency West Java Indonesia,JAWA BARAT,BANDUNG,KATAPANG,masjid,4.8,0.8534015
3,33810,Masjid Jami,BGE-M3,Masjid jami,Unnamed Road Majalaya Kec Cikalongkulon Kabupaten Cianjur Jawa Barat 43291 Indonesia,JAWA BARAT,CIANJUR,CIKALONGKULON,masjid,5.0,0.8534015
4,32688,Masjid Jami,BGE-M3,masjid jami,Sirnagalih Cilaku Cianjur Regency West Java 43285 Indonesia,JAWA BARAT,CIANJUR,CILAKU,masjid,5.0,0.8534015
5,31089,Masjid Jami,BGE-M3,masjid jami,Titisan Sukalarang Sukabumi Regency West Java 43191 Indonesia,JAWA BARAT,SUKABUMI,SUKALARANG,masjid,0.0,0.8534015
6,29823,Masjid Jami,BGE-M3,masjid jami,Ciracap Sukabumi Regency West Java 43176 Indonesia,JAWA BARAT,SUKABUMI,CIRACAP,masjid,4.5,0.8534015
7,29579,Masjid Jami,BGE-M3,Masjid Jami,Wanasari Surade Sukabumi Regency West Java 43172 Indonesia,JAWA BARAT,SUKABUMI,SURADE,masjid,0.0,0.8534015
8,24664,Masjid Jami,BGE-M3,Masjid jami,Cileungsi Ciawi Bogor Regency West Java 16720 Indonesia,JAWA BARAT,BOGOR,CIAWI,masjid,0.0,0.8534015
9,12299,Masjid Jami,BGE-M3,Masjid Jami,Mekarsari Cilegon Banten Indonesia,BANTEN,KOTA CILEGON,PULOMERAK,masjid,0.0,0.8534015
10,10525,Masjid Jami,BGE-M3,Masjid Jami,Cikolelet Cinangka Serang Regency Banten 42167 Indonesia,BANTEN,SERANG,CINANGKA,masjid,4.3,0.8534015
1,5130,Mushola Al Hidayah,BGE-M3,Mushola al hidayah,Jl Kp Kb Klp Lembangsari Kec Rajeg Kabupaten Tangerang Banten 15540 Indonesia,BANTEN,TANGERANG,MAUK,mushola,5.0,0.92951465
2,4797,Mushola Al Hidayah,BGE-M3,Mushola Al-Hidayah,Sondol Kemuning Kec Kresek Kabupaten Tangerang Banten 15620 Indonesia,BANTEN,TANGERANG,KRESEK,mushola,4.9,0.92951465
3,4603,Mushola Al Hidayah,BGE-M3,Mushola Al Hidayah,Selapajang Tangerang Regency Banten Indonesia,BANTEN,TANGERANG,CISOKA,mushola,2.8,0.92951465
4,4590,Mushola Al Hidayah,BGE-M3,Mushola Al Hidayah,Cibugel Tangerang Regency Banten Indonesia,BANTEN,TANGERANG,CISOKA,mushola,4.0,0.92951465
5,4464,Mushola Al Hidayah,BGE-M3,Mushola Al-hidayah,Place of worship · Jl Ki Buyut Jarimin Jl Rancamaneuh NoKp RT002/RW003 Ds,BANTEN,TANGERANG,JAMBE,mushola,5.0,0.92951465
6,4296,Mushola Al Hidayah,BGE-M3,Mushola Al-Hidayah,Kp Sikluk RT04/RW01 Pematang Kec Tigaraksa Kabupaten Tangerang Banten 15720 Indonesia,BANTEN,TANGERANG,TIGARAKSA,mushola,5.0,0.92951465
7,3887,Mushola Al Hidayah,BGE-M3,"Mushola ""AL-HIDAYAH""",Parahu Tangerang Regency Banten Indonesia,BANTEN,TANGERANG,BALARAJA,mushola,5.0,0.92951465
8,2004,Mushola Al Hidayah,BGE-M3,Mushola Al Hidayah,Sukaratu Pandeglang Regency Banten Indonesia,BANTEN,PANDEGLANG,KARANG TANJUNG,mushola,4.0,0.92951465
9,1979,Mushola Al Hidayah,BGE-M3,"Mushola Al, hidayah",Jl Nagrek Cigadung Kec Karang Tj Kabupaten Pandeglang Banten 42251 Indonesia,BANTEN,PANDEGLANG,KARANG TANJUNG,mushola,5.0,0.92951465
10,457,Mushola Al Hidayah,BGE-M3,Mushola Al Hidayah,RT05/RW04 Pangkalan Kec Sobang Kabupaten Pandeglang Banten 42281 Indonesia,BANTEN,PANDEGLANG,ANGSANA,mushola,5.0,0.92951465
1,28631,Masjid Al Muttaqin,BGE-M3,Masjid Al Muttaqin,Sukakersa Parakansalak Sukabumi Regency West Java 43355 Indonesia,JAWA BARAT,SUKABUMI,PARAKANSALAK,masjid,5.0,0.9347714
2,26367,Masjid Al Muttaqin,BGE-M3,Masjid Al Muttaqin,Tanjungsari Cijeruk Bogor Bogor Regency West Java 16840 Indonesia,JAWA BARAT,BOGOR,TANJUNGSARI,masjid,0.0,0.9347714
3,24877,Masjid Al Muttaqin,BGE-M3,Masjid Al-Muttaqin,Kopo Cisarua Bogor Regency West Java 16750 Indonesia,JAWA BARAT,BOGOR,CISARUA,masjid,5.0,0.9347714
4,21605,Masjid Al Muttaqin,BGE-M3,Masjid Al Muttaqin,Mosque · Jalan Jalur Pipa Pertamina Blok Rawa Bogo RT 01 / RW 06 Pasir Angin Cileungsi,JAWA BARAT,BOGOR,CILEUNGSI,masjid,4.8,0.9347714
5,19361,Masjid Al Muttaqin,BGE-M3,Masjid Al-Muttaqin,North Cipinang Besar East Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,JATINEGARA,masjid,4.7,0.9347714
6,14524,Masjid Al Muttaqin,BGE-M3,Masjid Al Muttaqin,Harapan Mulya Central Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,KEMAYORAN,masjid,4.8,0.9347714
7,12694,Masjid Al Muttaqin,BGE-M3,Masjid Al Muttaqin,Jl Ciceri Jaya Sumurpecung Kec Serang Kota Serang Banten 42118 Indonesia,BANTEN,KOTA SERANG,SERANG,masjid,4.6,0.9347714
8,4696,Masjid Al Muttaqin,BGE-M3,Masjid Al Muttaqin,Jl Cisoka Cilaban Cempaka Tangerang Kabupaten Tangerang Banten 15730 Indonesia,BANTEN,TANGERANG,CISOKA,masjid,5.0,0.9347714
9,4694,Masjid Al Muttaqin,BGE-M3,Masjid Al Muttaqin,Karangharja Tangerang Regency Banten Indonesia,BANTEN,TANGERANG,CISOKA,masjid,5.0,0.9347714
10,4683,Masjid Al Muttaqin,BGE-M3,Masjid Al Muttaqin,JL Pasanggrahan Cisoka Pasanggrahan Tangerang Kabupaten Tangerang Banten 15730 Indonesia,BANTEN,TANGERANG,CISOKA,masjid,5.0,0.9347714
1,4712,Masjid Baiturrahman,BGE-M3,Masjid Baiturrahman,Cibugel Cisoka Tangerang Regency Banten 15730 Indonesia,BANTEN,TANGERANG,CISOKA,masjid,4.4,0.93207854
2,4174,Masjid Baiturrahman,BGE-M3,Masjid Baiturrahman,Jl Imam Bonjol RT002/RW005 Bojong Jaya Kec Karawaci Kota Tangerang Banten 15115 Indonesia,BANTEN,TANGERANG,TIGARAKSA,masjid,4.7,0.93207854
3,3103,Masjid Baiturrahman,BGE-M3,Masjid Baiturrahman,Tangkak Johor Malaysia,BANTEN,LEBAK,CIMARGA,masjid,4.7,0.93207854
4,3066,Masjid Baiturrahman,BGE-M3,Masjid BAITURRAHMAN,Kpkebon kopi Gn Anten Kec Cimarga Kabupaten Lebak Banten 42361 Indonesia,BANTEN,LEBAK,CIMARGA,masjid,5.0,0.93207854
5,3029,Masjid Baiturrahman,BGE-M3,Masjid Baiturrahman,Mosque ·  ·  Jl Raya Cileles-Gunung kencana,BANTEN,LEBAK,CILELES,masjid,4.4,0.93207854
6,2818,Masjid Baiturrahman,BGE-M3,Masjid Baiturrahman,Jl Raya Cileles-Gunung kencana Lebak Kec Cileles Kabupaten Lebak Banten 42353 Indonesia,BANTEN,LEBAK,CILELES,masjid,4.3,0.93207854
7,2036,Masjid Baiturrahman,BGE-M3,Masjid Baiturrahman,Kadumerak Karang Tanjung Pandeglang Regency Banten 42251 Indonesia,BANTEN,PANDEGLANG,KARANG TANJUNG,masjid,5.0,0.93207854
8,949,Masjid Baiturrahman,BGE-M3,Masjid Baiturrahman,Pasir Panjang Picung Pasirsedang Kec Picung Kabupaten Pandeglang Banten 42275 Indonesia,BANTEN,PANDEGLANG,PICUNG,masjid,0.0,0.93207854
9,215,Masjid Baiturrahman,BGE-M3,Masjid Baiturrahman,Umbulan Pandeglang Regency Banten Indonesia,BANTEN,PANDEGLANG,CIKEUSIK,masjid,4.8,0.93207854
10,101,Masjid Baiturrahman,BGE-M3,Masjid Baiturrahman,Mangkualam Cimanggu Pandeglang Regency Banten 42284 Indonesia,BANTEN,PANDEGLANG,CIMANGGU,masjid,5.0,0.93207854
1,2692,Masjid At Taqwa,BGE-M3,masjid at-taqwa,kp leuwisema Haurgajrug Kec Cipanas Kabupaten Lebak Banten 42372 Indonesia,BANTEN,LEBAK,CIPANAS,masjid,4.6,0.89712685
2,2639,Masjid At Taqwa,BGE-M3,Masjid AT TAQWA,Kampung Bujal Kec Cipanas Kabupaten Lebak Banten 42372 Indonesia,BANTEN,LEBAK,CIPANAS,masjid,4.7,0.89712685
3,2339,Masjid At Taqwa,BGE-M3,masjid at'taqwa,Gerendong Koroncong Pandeglang Regency Banten 42251 Indonesia,BANTEN,PANDEGLANG,KORONCONG,masjid,5.0,0.89712685
4,2270,Masjid At Taqwa,BGE-M3,Masjid At Taqwa,kptarikolot Bojongmanik Kec Sindangresmi Kabupaten Pandeglang Banten 42276 Indonesia,BANTEN,PANDEGLANG,SINDANGRESMI,masjid,5.0,0.89712685
5,2120,Masjid At Taqwa,BGE-M3,Masjid At Taqwa,Kiarajangkung Cibitung Pandeglang Regency Banten 42285 Indonesia,BANTEN,PANDEGLANG,CIBITUNG,masjid,0.0,0.89712685
6,1406,Masjid At Taqwa,BGE-M3,Masjid At Taqwa,Mandalawangi Mandalawangi Cikoneng Pandeglang Kabupaten Pandeglang Banten 42261 Indonesia,BANTEN,PANDEGLANG,MANDALAWANGI,masjid,3.0,0.89712685
7,1081,Masjid At Taqwa,BGE-M3,Masjid At Taqwa,Unnamed Road Parigi Kec Saketi Kabupaten Pandeglang Banten 42273 Indonesia,BANTEN,PANDEGLANG,SAKETI,masjid,4.4,0.89712685
8,1021,Masjid At Taqwa,BGE-M3,Masjid At-Taqwa,Pasir Waru Kec Menes Kabupaten Pandeglang Banten 42262 Indonesia,BANTEN,PANDEGLANG,MENES,masjid,4.6,0.89712685
9,952,Masjid At Taqwa,BGE-M3,Masjid At-taqwa,Pasirsedang Picung Pandeglang Regency Banten 42275 Indonesia,BANTEN,PANDEGLANG,PICUNG,masjid,0.0,0.89712685
10,504,Masjid At Taqwa,BGE-M3,Masjid at-Taqwa,Pasanggrahan Munjul Pandeglang Regency Banten 42276 Indonesia,BANTEN,PANDEGLANG,MUNJUL,masjid,5.0,0.89712685
1,3617,Masjid Al Falah,BGE-M3,Masjid Al Falah,Unnamed Road Muara Kec Wanasalam Kabupaten Lebak Banten 42396 Indonesia,BANTEN,LEBAK,WANASALAM,masjid,5.0,0.92714506
2,3091,Masjid Al Falah,BGE-M3,Masjid Al Falah,Kampung Margatirta Cimarga Margatirta Rangkasbitung Kabupaten Lebak Banten 42361 Indonesia,BANTEN,LEBAK,CIMARGA,masjid,0.0,0.92714506
3,2821,Masjid Al Falah,BGE-M3,Masjid Al Falah,Raya Gunung Kencana Keusik Kec Banjarsari Kabupaten Lebak Banten 42355 Indonesia,BANTEN,LEBAK,GUNUNGKENCANA,masjid,4.3,0.92714506
4,1504,Masjid Al Falah,BGE-M3,Masjid Al-Falah,Kupahandap Cimanuk Pandeglang Regency Banten 42271 Indonesia,BANTEN,PANDEGLANG,MANDALAWANGI,masjid,4.4,0.92714506
5,1478,Masjid Al Falah,BGE-M3,Masjid Al Falah,Sirnagalih Mandalawangi Cikoneng Pandeglang Kabupaten Pandeglang Banten 42261 Indonesia,BANTEN,PANDEGLANG,MANDALAWANGI,masjid,0.0,0.92714506
6,1039,Masjid Al Falah,BGE-M3,Masjid Al-Falah,Mosque ·  Kampung Rengat Hilir Menes,BANTEN,PANDEGLANG,MENES,masjid,0.0,0.92714506
7,931,Masjid Al Falah,BGE-M3,Masjid Al Falah,Pasirsedang Picung Pandeglang Regency Banten 42275 Indonesia,BANTEN,PANDEGLANG,PICUNG,masjid,0.0,0.92714506
8,494,Masjid Al Falah,BGE-M3,Masjid Al-Falah,Kampung Sudimana Munjul Kec Munjul Kabupaten Pandeglang Banten 42276 Indonesia,BANTEN,PANDEGLANG,MUNJUL,masjid,0.0,0.92714506
9,389,Masjid Al Falah,BGE-M3,Masjid Al falah,Karet Panimbang Tanjungjaya Kec Panimbang Kabupaten Pandeglang Banten 42281 Indonesia,BANTEN,PANDEGLANG,PANIMBANG,masjid,0.0,0.92714506
10,218,Masjid Al Falah,BGE-M3,Masjid AL- FALAH,Nanggala Pandeglang Regency Banten Indonesia,BANTEN,PANDEGLANG,CIKEUSIK,masjid,4.7,0.92714506
1,169308,Masjid Istiqlal Jakarta,BGE-M3,Masjid Istiqlal,Tempel Turi Kec Jetis Kabupaten Ponorogo Jawa Timur 63473 Indonesia,JAWA TIMUR,PONOROGO,JETIS,masjid,4.3,0.8251267
2,150489,Masjid Istiqlal Jakarta,BGE-M3,Masjid Istiqlal, Jl Kahuripan Utara Raya Sumber Kec Banjarsari Kota Surakarta Jawa Tengah 57138 Indonesia,JAWA TENGAH,KOTA SURAKARTA,BANJARSARI,masjid,5.0,0.8251267
3,128777,Masjid Istiqlal Jakarta,BGE-M3,Masjid Istiqlal, Julu Tlogorejo Kec Winong Kabupaten Pati Jawa Tengah 59181 Indonesia,JAWA TENGAH,PATI,WINONG,masjid,48.0,0.8251267
4,242416,Masjid Istiqlal Jakarta,BGE-M3,Masjid istiqlal,Mosque · Jl Pandegiling No258,JAWA TIMUR,KOTA SURABAYA,TEGALSARI,masjid,4.8,0.8251265
5,138439,Masjid Istiqlal Jakarta,BGE-M3,Masjid Istiqlal, Dusun Wenoboyo Wonoboyo Dadapan Cemoro Kec Wonoboyo Kabupaten Temanggung Jawa Tengah 56266 Indonesia,JAWA TENGAH,TEMANGGUNG,WONOBOYO,masjid,0.0,0.8251265
6,121197,Masjid Istiqlal Jakarta,BGE-M3,Masjid Istiqlal, Sokoalas Soka Karangdowo Klaten Regency Central Java 57464 Indonesia,JAWA TENGAH,KLATEN,KARANGDOWO,masjid,46.0,0.8251265
7,116607,Masjid Istiqlal Jakarta,BGE-M3,Masjid Istiqlal, Karangtengah Girirejo Kec Kaliangkrik Kabupaten Magelang Jawa Tengah 56153 Indonesia,JAWA TENGAH,MAGELANG,KALIANGKRIK,masjid,5.0,0.8251265
8,101749,Masjid Istiqlal Jakarta,BGE-M3,Masjid Istiqlal, Rejosari Kemiri Kec Mojosongo Kabupaten Boyolali Jawa Tengah 57482 Indonesia,JAWA TENGAH,BOYOLALI,MOJOSONGO,masjid,5.0,0.8251265
9,14382,Masjid Istiqlal Jakarta,BGE-M3,Madrasah Istiqlal Jakarta,Pasar Baru Central Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,SAWAH BESAR,islamic_center,4.6,0.80051595
10,27359,Masjid Istiqlal Jakarta,BGE-M3,Masjid Masjid Istiqlal,JL Cibuhung Bantargadung Sukabumi Kabupaten Sukabumi Jawa Barat 43363 Indonesia,JAWA BARAT,SUKABUMI,BANTARGADUNG,masjid,0.0,0.79962605
1,49997,Masjid Agung Tasikmalaya,BGE-M3,Masjid Agung Tasikmalaya,Yudanagara Tasikmalaya Regency West Java Indonesia,JAWA BARAT,TASIKMALAYA,SUKARATU,masjid,4.8,0.8798506
2,47430,Masjid Agung Tasikmalaya,BGE-M3,Masjid Agung Tasikmalaya,Yudanagara Tasikmalaya Regency West Java Indonesia,JAWA BARAT,TASIKMALAYA,BOJONGASIH,masjid,4.8,0.8798506
3,49423,Masjid Agung Tasikmalaya,BGE-M3,Masjid Agung Kab. Tasikmalaya,Sukamulya Tasikmalaya Regency West Java Indonesia,JAWA BARAT,TASIKMALAYA,MANGUNREJA,masjid,4.6,0.8489301
4,49266,Masjid Agung Tasikmalaya,BGE-M3,Masjid Agung Kab. Tasikmalaya,Sukamulya Tasikmalaya Regency West Java Indonesia,JAWA BARAT,TASIKMALAYA,SINGAPARNA,masjid,4.6,0.8489301
