rank,document_ID,query,model,name,address,provinsi,kabko,kecamatan,mosque_type,rating,similarity
2,169308,Masjid Istiqlal,MPNet,Masjid Istiqlal,Tempel Turi Kec Jetis Kabupaten Ponorogo Jawa Timur 63473 Indonesia,JAWA TIMUR,PONOROGO,JETIS,masjid,4.3,0.9921607
3,150489,Masjid Istiqlal,MPNet,Masjid Istiqlal, Jl Kahuripan Utara Raya Sumber Kec Banjarsari Kota Surakarta Jawa Tengah 57138 Indonesia,JAWA TENGAH,KOTA SURAKARTA,BANJARSARI,masjid,5.0,0.9921607
4,138439,Masjid Istiqlal,MPNet,Masjid Istiqlal, Dusun Wenoboyo Wonoboyo Dadapan Cemoro Kec Wonoboyo Kabupaten Temanggung Jawa Tengah 56266 Indonesia,JAWA TENGAH,TEMANGGUNG,WONOBOYO,masjid,0.0,0.9921607
5,128777,Masjid Istiqlal,MPNet,Masjid Istiqlal, Julu Tlogorejo Kec Winong Kabupaten Pati Jawa Tengah 59181 Indonesia,JAWA TENGAH,PATI,WINONG,masjid,48.0,0.9921607
6,121197,Masjid Istiqlal,MPNet,Masjid Istiqlal, Sokoalas Soka Karangdowo Klaten Regency Central Java 57464 Indonesia,JAWA TENGAH,KLATEN,KARANGDOWO,masjid,46.0,0.9921607
7,116607,Masjid Istiqlal,MPNet,Masjid Istiqlal, Karangtengah Girirejo Kec Kaliangkrik Kabupaten Magelang Jawa Tengah 56153 Indonesia,JAWA TENGAH,MAGELANG,KALIANGKRIK,masjid,5.0,0.9921607
8,101749,Masjid Istiqlal,MPNet,Masjid Istiqlal, Rejosari Kemiri Kec Mojosongo Kabupaten Boyolali Jawa Tengah 57482 Indonesia,JAWA TENGAH,BOYOLALI,MOJOSONGO,masjid,5.0,0.9921607
9,166342,Masjid Istiqlal,MPNet,Masjid Istiqlaal, Kebur Kebun Kidul Argomulyo Cangkringan Sleman Regency Special Region of Yogyakarta 55583 Indonesia,DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,CANGKRINGAN,mushola,44.0,0.98367643
10,14380,Masjid Istiqlal,MPNet,Istiqlal Mosque,Pasar Baru Central Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,SAWAH BESAR,masjid,4.8,0.98315394
1,236734,Masjid Raya Bandung,MPNet,Masjid Bandung,Bandung Tambelangan Kec Tambelangan Kabupaten Sampang Jawa Timur 69253 Indonesia,JAWA TIMUR,SAMPANG,TAMBELANGAN,masjid,5.0,0.8946945
2,89022,Masjid Raya Bandung,MPNet,Masjid bandung,Cijaura Buahbatu Bandung City West Java 40287 Indonesia,JAWA BARAT,KOTA BANDUNG,BUAHBATU,masjid,5.0,0.8946945
3,87590,Masjid Raya Bandung,MPNet,Masjid bandung,Citarum Bandung Wetan Bandung City West Java 40115 Indonesia,JAWA BARAT,KOTA BANDUNG,BANDUNG WETAN,masjid,5.0,0.89469445
4,166811,Masjid Raya Bandung,MPNet,Masjid Mangunwinatan Yogyakarta, Kadipaten Kraton Yogyakarta City Special Region of Yogyakarta 55132 Indonesia,DAERAH ISTIMEWA YOGYAKARTA,KOTA YOGYAKARTA,KRATON,masjid,5.0,0.8920338
5,166968,Masjid Raya Bandung,MPNet,Masjid Baitun Na'im Wirogunan- Yogyakarta, Jl Taman Siswa Wirogunan Kec Mergangsan Kota Yogyakarta Daerah Istimewa Yogyakarta 55151 Indonesia,DAERAH ISTIMEWA YOGYAKARTA,KOTA YOGYAKARTA,MERGANGSAN,mushola,46.0,0.8916489
6,176682,Masjid Raya Bandung,MPNet,Masjid Baiturrahim Ngrobyong,Ngrobong Jiwut Kec Nglegok Kabupaten Blitar Jawa Timur 66181 Indonesia,JAWA TIMUR,BLITAR,NGLEGOK,masjid,4.6,0.89145696
7,227923,Masjid Raya Bandung,MPNet,Masjid Tanjung rejo,Tanjungrejo Sidohasri Kec Kenduruan Kabupaten Tuban Jawa Timur 62363 Indonesia,JAWA TIMUR,TUBAN,KENDURUAN,masjid,5.0,0.89113706
8,138558,Masjid Raya Bandung,MPNet,Masjid TPI Bandungharjo, Mulyorejo Bandungharjo Kec Donorojo Kabupaten Jepara Jawa Tengah 59454 Indonesia,JAWA TENGAH,JEPARA,DONOROJO,masjid,42.0,0.89005995
9,31933,Masjid Raya Bandung,MPNet,Masjid Darussalam Gelarpadang-Bobojong,Gelarpadang Mekartanjung Kec Curugkembar Kabupaten Sukabumi Jawa Barat 43182 Indonesia,JAWA BARAT,SUKABUMI,CIDADAP,masjid,3.8,0.8884712
10,131344,Masjid Raya Bandung,MPNet,Masjid Baitussalam Bandungsari, Bandungsari Kec Ngaringan Kabupaten Grobogan Jawa Tengah 58193 Indonesia,JAWA TENGAH,GROBOGAN,NGARINGAN,masjid,48.0,0.8879888
1,43732,Masjid Al Ikhlas,MPNet,Masjid Al-Ikhlsa,Kp kudang Sukaresmi Kec Sukaresmi Kabupaten Garut Jawa Barat 44163 Indonesia,JAWA BARAT,GARUT,SUKARESMI,masjid,4.4,0.98568827
2,119714,Masjid Al Ikhlas,MPNet,MASJID AL IKLHAS, pondok Kalimati Kec Juwangi Kabupaten Boyolali Jawa Tengah 57391 Indonesia,JAWA TENGAH,BOYOLALI,JUWANGI,masjid,5.0,0.9855148
3,172644,Masjid Al Ikhlas,MPNet,Masjid al iklhas,Beji Tulungagung Regency East Java Indonesia,JAWA TIMUR,TULUNGAGUNG,BOYOLANGU,masjid,5.0,0.98551476
4,166224,Masjid Al Ikhlas,MPNet,Masjid Al-Iklhas, Kaliurang Hargobinangun Kec Pakem Kabupaten Sleman Daerah Istimewa Yogyakarta 55582 Indonesia,DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,PAKEM,masjid,46.0,0.98551476
5,37718,Masjid Al Ikhlas,MPNet,masjid al iklhas,Bojongsoang Bandung Regency West Java Indonesia,JAWA BARAT,BANDUNG,DAYEUHKOLOT,masjid,4.7,0.98551476
6,235234,Masjid Al Ikhlas,MPNet,Masjid AL - IKLHAS,Keleyan Kec Socah Kabupaten Bangkalan Jawa Timur 69161 Indonesia,JAWA TIMUR,BANGKALAN,SOCAH,masjid,5.0,0.98551464
7,212757,Masjid Al Ikhlas,MPNet,Masjid Al-iklhas,Gondang Paringan Kec Jetis Kabupaten Mojokerto Jawa Timur 61352 Indonesia,JAWA TIMUR,MOJOKERTO,DAWARBLANDONG,masjid,4.4,0.98551464
8,138568,Masjid Al Ikhlas,MPNet,Masjid Al Iklhas, Karang Anyar Banyumanis Kec Donorojo Kabupaten Jepara Jawa Tengah 59454 Indonesia,JAWA TENGAH,JEPARA,DONOROJO,masjid,48.0,0.98551464
9,129083,Masjid Al Ikhlas,MPNet,masjid al iklhas, Jalan Dungus Karanganyar Plupuh Sragen Regency Central Java 57283 Indonesia,JAWA TENGAH,SRAGEN,PLUPUH,masjid,41.0,0.98551464
10,2871,Masjid Al Ikhlas,MPNet,Masjid al ikahlas,Cisampang Gunungkencana Lebak Regency Banten 42354 Indonesia,BANTEN,LEBAK,GUNUNGKENCANA,masjid,0.0,0.9834737
1,3223,Masjid Nurul Huda,MPNet,Mosque of Nurul Huda,Jl Multatuli Muara Ciujung Bar Kec Rangkasbitung Kabupaten Lebak Banten 42312 Indonesia,BANTEN,LEBAK,RANGKASBITUNG,masjid,5.0,0.9686551
2,167347,Masjid Nurul Huda,MPNet,Masjid Nurrul Huda,RWLingkungan Baksari Ngawen I Semanten Pacitan Pacitan Regency East Java 63518 Indonesia,JAWA TIMUR,PACITAN,TULAKAN,masjid,4.4,0.96469647
3,143645,Masjid Nurul Huda,MPNet,"Masjid ""Nurrul Huda""", Bantengsari Purwo Sari Kec Sukorejo Kabupaten Kendal Jawa Tengah 51363 Indonesia,JAWA TENGAH,KENDAL,SUKOREJO,masjid,48.0,0.96469647
4,64741,Masjid Nurul Huda,MPNet,Masjid Nurrul Huda,Jl Desa Mekar Bakti Mekarbakti Kec Pamulihan Kabupaten Sumedang Jawa Barat 45365 Indonesia,JAWA BARAT,SUMEDANG,PAMULIHAN,masjid,4.9,0.96469647
5,228730,Masjid Nurul Huda,MPNet,Masjid Nurul Husna,Wonorejo Ponco Suciharjo Kec Parengan Kabupaten Tuban Jawa Timur 62366 Indonesia,JAWA TIMUR,TUBAN,PARENGAN,masjid,5.0,0.9603204
6,195167,Masjid Nurul Huda,MPNet,Masjid Nurul Husna,Jl Jambu Krajan Jemberlor Kec Patrang Kabupaten Jember Jawa Timur 68118 Indonesia,JAWA TIMUR,JEMBER,PATRANG,masjid,5.0,0.9603204
7,75933,Masjid Nurul Huda,MPNet,Masjid Nurul Husna,none,JAWA BARAT,KARAWANG,LEMAHABANG,masjid,4.6,0.9603204
8,45575,Masjid Nurul Huda,MPNet,Masjid nurul husna,Unnamed Road Cimahi Caringin Garut Regency West Java 44166 Indonesia,JAWA BARAT,GARUT,CARINGIN,masjid,5.0,0.9603204
9,77993,Masjid Nurul Huda,MPNet,Masjid Nurul Husna,Mosque · Perumahan Taman Edelwis Jl Anggrek 3 No12 Blok B4,JAWA BARAT,BEKASI,TAMBUN UTARA,masjid,4.7,0.96032035
10,17045,Masjid Nurul Huda,MPNet,Masjid Nurul Husna,Tegal Alur West Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,KALIDERES,masjid,0.0,0.96032035
1,236799,Masjid Jami,MPNet,MASJID JAMGALIS,Jamgalis Somber Kec Tambelangan Kabupaten Sampang Jawa Timur 69253 Indonesia,JAWA TIMUR,SAMPANG,TAMBELANGAN,masjid,5.0,0.96812254
2,101703,Masjid Jami,MPNet,Masjid jamillah, Purwojati Kec Purwojati Kabupaten Banyumas Jawa Tengah 53175 Indonesia,JAWA TENGAH,BANYUMAS,PURWOJATI,masjid,0.0,0.9664242
3,223638,Masjid Jami,MPNet,masjid jamidiniyah,Nglenguk Punjen Pelang Kidul Kec Kedunggalar Kabupaten Ngawi Jawa Timur 63254 Indonesia,JAWA TIMUR,NGAWI,KEDUNGGALAR,masjid,4.9,0.9611288
4,73597,Masjid Jami,MPNet,Masjid Jammie Assalam,Gintungkerta Karawang West Java Indonesia,JAWA BARAT,KARAWANG,KLARI,masjid,5.0,0.9569518
5,32560,Masjid Jami,MPNet,Masjid Jamhuri,Sukamaju Cibeber Cianjur Regency West Java 43262 Indonesia,JAWA BARAT,CIANJUR,CIBEBER,masjid,4.8,0.9504187
6,41028,Masjid Jami,MPNet,Masjid Jami Al Jamilah,Jalan Ahmad Yani Kota Wetan Garut Sucikaler Kec Karangpawitan Kabupaten Garut Jawa Barat 44111 Indonesia,JAWA BARAT,GARUT,KARANGPAWITAN,masjid,4.8,0.9487188
7,36040,Masjid Jami,MPNet,Masjid Jamie,Kp Gelar padang Jl Raya Cijati Cibodas Kec Cijati Kabupaten Cianjur Jawa Barat 43284 Indonesia,JAWA BARAT,CIANJUR,CIJATI,masjid,0.0,0.948475
8,33485,Masjid Jami,MPNet,Masjid Jamie,Sukamulya Sukaluyu Cianjur Regency West Java 43284 Indonesia,JAWA BARAT,CIANJUR,SUKALUYU,masjid,0.0,0.948475
9,33883,Masjid Jami,MPNet,Masjid jamie,Mekar Sari Cikalongkulon Cianjur Regency West Java 43291 Indonesia,JAWA BARAT,CIANJUR,CIKALONGKULON,masjid,0.0,0.9484749
10,29015,Masjid Jami,MPNet,Masjid jamie,Jl Cirasamala Cihamerang Kec Kabandungan Kabupaten Sukabumi Jawa Barat 43368 Indonesia,JAWA BARAT,SUKABUMI,KABANDUNGAN,masjid,4.0,0.9484749
1,194480,Mushola Al Hidayah,MPNet,Musholla Al-Hidayyah,Unnamed Road Ampo Dukuh Mencek Kec Sukorambi Kabupaten Jember Jawa Timur 68151 Indonesia,JAWA TIMUR,JEMBER,SUKORAMBI,musholla,0.0,0.9705557
2,215060,Mushola Al Hidayah,MPNet,Musholla al-hidayyah,Unnamed Road Doko Kepuhdoko Tembelang Jombang Regency East Java 61452 Indonesia,JAWA TIMUR,JOMBANG,TEMBELANG,musholla,0.0,0.9705556
3,81272,Mushola Al Hidayah,MPNet,MUSHOLLA AL-HIDAYYAH,Jayasampurna Bekasi Regency West Java Indonesia,JAWA BARAT,BEKASI,SERANG BARU,musholla,4.9,0.9705556
4,115954,Mushola Al Hidayah,MPNet,Al Hidayah Mushola, Jl Tambakan Kembaran Sedayu Kec Muntilan Kabupaten Magelang Jawa Tengah 56412 Indonesia,JAWA TENGAH,MAGELANG,SRUMBUNG,mushola,5.0,0.9687081
5,54967,Mushola Al Hidayah,MPNet,Mushala Al Hidayah,Gg Bhinneka Bandorasa Wetan Kec Cilimus Kabupaten Kuningan Jawa Barat 45556 Indonesia,JAWA BARAT,KUNINGAN,CILIMUS,masjid,0.0,0.9681422
6,41254,Mushola Al Hidayah,MPNet,Mushala Al Hidayah,Jl Samanggen Wanajaya Kec Wanaraja Kabupaten Garut Jawa Barat 44183 Indonesia,JAWA BARAT,GARUT,WANARAJA,musala,0.0,0.9681422
7,218963,Mushola Al Hidayah,MPNet,Mushala Al-Hidayah,Kradinan Madiun Regency East Java Indonesia,JAWA TIMUR,MADIUN,DOLOPO,islamic_center,5.0,0.96814215
8,164949,Mushola Al Hidayah,MPNet,Mushola Al-Hidayah Mladri, Jl Bantulan Mladri Bantulan Margokaton Kec Seyegan Kabupaten Sleman Daerah Istimewa Yogyakarta 55561 Indonesia,DAERAH ISTIMEWA YOGYAKARTA,SLEMAN,SEYEGAN,musholla,43.0,0.9645947
9,122814,Mushola Al Hidayah,MPNet,Musholah Al-Hidayyah, Gondang Manis Jumantoro Kec Jumapolo Kabupaten Karanganyar Jawa Tengah 57783 Indonesia,JAWA TENGAH,KARANGANYAR,JUMANTONO,mushola,0.0,0.9627092
10,227825,Mushola Al Hidayah,MPNet,Mushola Al YAQIN,RT25/RW8 Mundu Wadang Kec Ngasem Kabupaten Bojonegoro Jawa Timur 62154 Indonesia,JAWA TIMUR,BOJONEGORO,GAYAM,mushola,0.0,0.96203035
1,124544,Masjid Al Muttaqin,MPNet,Masjid Al-Mutaqien,Larangan Brebes Regency Central Java Indonesia,JAWA TENGAH,BREBES,BUMIAYU,masjid,46.0,0.9904309
2,224157,Masjid Al Muttaqin,MPNet,Masjid Al-Mutaqien,Ngasem Bangunrejo Lor Kec Pitu Kabupaten Ngawi Jawa Timur 63252 Indonesia,JAWA TIMUR,NGAWI,PITU,masjid,4.6,0.99043083
3,221337,Masjid Al Muttaqin,MPNet,Masjid Al-Mutaqien,Jalan Batik Kalitengah Sidomukti Plaosan Magetan Regency East Java 63361 Indonesia,JAWA TIMUR,MAGETAN,PLAOSAN,masjid,0.0,0.99043083
4,163708,Masjid Al Muttaqin,MPNet,masjid al-mutaqien, Kalitekuk Kec Semin Kabupaten Gunungkidul Daerah Istimewa Yogyakarta 55854 Indonesia,DAERAH ISTIMEWA YOGYAKARTA,GUNUNGKIDUL,SEMIN,masjid,5.0,0.99043083
5,163698,Masjid Al Muttaqin,MPNet,Masjid Al Mutaqien, Pendem Sumberejo Kec Semin Kabupaten Gunungkidul Daerah Istimewa Yogyakarta 55854 Indonesia,DAERAH ISTIMEWA YOGYAKARTA,GUNUNGKIDUL,SEMIN,masjid,5.0,0.99043083
6,150374,Masjid Al Muttaqin,MPNet,Masjid Al-Mutaqien,Larangan Brebes Regency Central Java Indonesia,JAWA TENGAH,BREBES,LARANGAN,masjid,46.0,0.99043083
7,126126,Masjid Al Muttaqin,MPNet,Masjid Al-Mutaqien, Dusun Waduk Kerjo Lor Kec Ngadirojo Kabupaten Wonogiri Jawa Tengah 57681 Indonesia,JAWA TENGAH,WONOGIRI,NGADIROJO,masjid,43.0,0.99043083
8,99658,Masjid Al Muttaqin,MPNet,Masjid Al-Mutaqien, Sawangan Kec Leksono Kabupaten Wonosobo Jawa Tengah 56362 Indonesia,JAWA TENGAH,WONOSOBO,LEKSONO,masjid,47.0,0.99043083
9,3704,Masjid Al Muttaqin,MPNet,MASJID AL MUTAQIEN,Padasuka Lebak Regency Banten Indonesia,BANTEN,LEBAK,CURUGBITUNG,masjid,4.5,0.99043083
10,150634,Masjid Al Muttaqin,MPNet,MASJID AL-MUTTQIN, Bangetayu Wetan Genuk Semarang City Central Java 50115 Indonesia,JAWA TENGAH,KOTA SEMARANG,GENUK,masjid,41.0,0.9877848
1,113310,Masjid Baiturrahman,MPNet,masjid baiturrrahman, Bogem Kec Japah Kabupaten Blora Jawa Tengah 58527 Indonesia,JAWA TENGAH,BLORA,JAPAH,masjid,4.0,0.9781327
2,62697,Masjid Baiturrahman,MPNet,Masjid Baiturrahman,Putridalem Majalengka Regency West Java Indonesia,JAWA BARAT,MAJALENGKA,JATITUJUH,masjid,0.0,0.97597635
3,55431,Masjid Baiturrahman,MPNet,Masjid Baiturrahman,Sagarahiang Darma Kuningan Regency West Java 45562 Indonesia,JAWA BARAT,KUNINGAN,DARMA,masjid,5.0,0.97597635
4,50467,Masjid Baiturrahman,MPNet,Masjid Baiturrahman,Jl Tj RT2/RW5 Tanjungpura Kec Rajapolah Kabupaten Tasikmalaya Jawa Barat 46175 Indonesia,JAWA BARAT,TASIKMALAYA,RAJAPOLAH,masjid,4.3,0.97597635
5,43756,Masjid Baiturrahman,MPNet,Masjid Baiturrahman,Cintadamai Sukaresmi Garut Regency West Java 44163 Indonesia,JAWA BARAT,GARUT,SUKARESMI,masjid,0.0,0.97597635
6,43326,Masjid Baiturrahman,MPNet,Masjid Baiturrahman,Sukahurip Cigedug Garut Regency West Java 44116 Indonesia,JAWA BARAT,GARUT,CIGEDUG,masjid,2.0,0.97597635
7,42744,Masjid Baiturrahman,MPNet,Masjid Baiturrahman,Kersamanah Garut Regency West Java 44185 Indonesia,JAWA BARAT,GARUT,KERSAMANAH,masjid,4.3,0.97597635
8,39513,Masjid Baiturrahman,MPNet,Masjid Baiturrahman,Cibeureum Kertasari Bandung Regency West Java 40386 Indonesia,JAWA BARAT,BANDUNG,KERTASARI,masjid,0.0,0.97597635
9,19891,Masjid Baiturrahman,MPNet,Masjid Baiturrahman,Jl Mustang RT3/RW4 Halim Perdanakusuma Kec Makasar Kota Jakarta Timur Daerah Khusus Ibukota Jakarta 13610 Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,MAKASAR,masjid,4.6,0.97597635
10,15735,Masjid Baiturrahman,MPNet,Masjid Baiturrahman,Sukapura North Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA UTARA,KOJA,masjid,4.7,0.97597635
1,107463,Masjid At Taqwa,MPNet,Masjid At Taqi,Miricinde Wonogiri Regency Central Java Indonesia,JAWA TENGAH,WONOGIRI,BULUKERTO,masjid,5.0,0.98007333
2,1406,Masjid At Taqwa,MPNet,Masjid At Taqwa,Mandalawangi Mandalawangi Cikoneng Pandeglang Kabupaten Pandeglang Banten 42261 Indonesia,BANTEN,PANDEGLANG,MANDALAWANGI,masjid,3.0,0.9771276
3,1081,Masjid At Taqwa,MPNet,Masjid At Taqwa,Unnamed Road Parigi Kec Saketi Kabupaten Pandeglang Banten 42273 Indonesia,BANTEN,PANDEGLANG,SAKETI,masjid,4.4,0.9771276
4,1021,Masjid At Taqwa,MPNet,Masjid At-Taqwa,Pasir Waru Kec Menes Kabupaten Pandeglang Banten 42262 Indonesia,BANTEN,PANDEGLANG,MENES,masjid,4.6,0.9771276
5,952,Masjid At Taqwa,MPNet,Masjid At-taqwa,Pasirsedang Picung Pandeglang Regency Banten 42275 Indonesia,BANTEN,PANDEGLANG,PICUNG,masjid,0.0,0.9771276
6,835,Masjid At Taqwa,MPNet,Masjid At Taqwa,Sukamaju Picung Kadupandak Kec Picung Kabupaten Pandeglang Banten 42213 Indonesia,BANTEN,PANDEGLANG,PICUNG,masjid,0.0,0.9771276
7,696,Masjid At Taqwa,MPNet,Masjid At-taqwa,Pasir jambu Bojong Mekarsari Pandeglang Kabupaten Pandeglang Banten 42274 Indonesia,BANTEN,PANDEGLANG,BOJONG,masjid,0.0,0.9771276
8,552,Masjid At Taqwa,MPNet,Masjid At-Taqwa,Kampung Pasanggrahan Munjul Pandeglang Regency Banten 42276 Indonesia,BANTEN,PANDEGLANG,MUNJUL,masjid,0.0,0.9771276
9,504,Masjid At Taqwa,MPNet,Masjid at-Taqwa,Pasanggrahan Munjul Pandeglang Regency Banten 42276 Indonesia,BANTEN,PANDEGLANG,MUNJUL,masjid,5.0,0.9771276
10,471,Masjid At Taqwa,MPNet,Masjid At Taqwa,Genjah Angsana Padamulya Kec Angsana Kabupaten Pandeglang Banten 42277 Indonesia,BANTEN,PANDEGLANG,ANGSANA,masjid,0.0,0.9771276
1,1744,Masjid Al Falah,MPNet,Masjid Al Falah,Cibodas Banjar Citalahab Kec Pandeglang Kabupaten Pandeglang Banten 42252 Indonesia,BANTEN,PANDEGLANG,BANJAR,masjid,0.0,0.9953324
2,1504,Masjid Al Falah,MPNet,Masjid Al-Falah,Kupahandap Cimanuk Pandeglang Regency Banten 42271 Indonesia,BANTEN,PANDEGLANG,MANDALAWANGI,masjid,4.4,0.9953324
3,1478,Masjid Al Falah,MPNet,Masjid Al Falah,Sirnagalih Mandalawangi Cikoneng Pandeglang Kabupaten Pandeglang Banten 42261 Indonesia,BANTEN,PANDEGLANG,MANDALAWANGI,masjid,0.0,0.9953324
4,1039,Masjid Al Falah,MPNet,Masjid Al-Falah,Mosque ·  Kampung Rengat Hilir Menes,BANTEN,PANDEGLANG,MENES,masjid,0.0,0.9953324
5,931,Masjid Al Falah,MPNet,Masjid Al Falah,Pasirsedang Picung Pandeglang Regency Banten 42275 Indonesia,BANTEN,PANDEGLANG,PICUNG,masjid,0.0,0.9953324
6,494,Masjid Al Falah,MPNet,Masjid Al-Falah,Kampung Sudimana Munjul Kec Munjul Kabupaten Pandeglang Banten 42276 Indonesia,BANTEN,PANDEGLANG,MUNJUL,masjid,0.0,0.9953324
7,491,Masjid Al Falah,MPNet,Masjid Al Falah,Gunungbatu Munjul Pandeglang Regency Banten 42276 Indonesia,BANTEN,PANDEGLANG,MUNJUL,masjid,5.0,0.9953324
8,389,Masjid Al Falah,MPNet,Masjid Al falah,Karet Panimbang Tanjungjaya Kec Panimbang Kabupaten Pandeglang Banten 42281 Indonesia,BANTEN,PANDEGLANG,PANIMBANG,masjid,0.0,0.9953324
9,250,Masjid Al Falah,MPNet,Masjid Al Falah,Malangsari Cikeusik Kec Cikeusik Kabupaten Pandeglang Banten 42286 Indonesia,BANTEN,PANDEGLANG,CIKEUSIK,masjid,0.0,0.9953324
10,218,Masjid Al Falah,MPNet,Masjid AL- FALAH,Nanggala Pandeglang Regency Banten Indonesia,BANTEN,PANDEGLANG,CIKEUSIK,masjid,4.7,0.9953324
1,14665,Masjid Istiqlal Jakarta,MPNet,Masjid Al istiaanah jakarta,RT10/RW9 Kramat Senen Central Jakarta City Jakarta 10540 Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,SENEN,masjid,4.3,0.9353829
2,17550,Masjid Istiqlal Jakarta,MPNet,Masjid Baitulmaqdis Indonesia,East Tebet South Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA SELATAN,TEBET,masjid,5.0,0.93297094
3,14409,Masjid Istiqlal Jakarta,MPNet,"Masjid Jami Nurul Islam, Karang Anyar, Jakarta Pusat",Karang Anyar Central Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,SAWAH BESAR,masjid,5.0,0.9276157
4,49329,Masjid Istiqlal Jakarta,MPNet,Masjid-E-Salam Indonesia,Jl Asri Residence RT022/RW005 Cintaraja Kec Singaparna Kabupaten Tasikmalaya Jawa Barat 46417 Indonesia,JAWA BARAT,TASIKMALAYA,SINGAPARNA,masjid,0.0,0.91969043
5,19728,Masjid Istiqlal Jakarta,MPNet,Masjid An-Nur Jakarta Timur,Mosque · Jl Delima I Blok 13 Rt 005/003 Perumnas Klender RT5/RW3,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,DUREN SAWIT,masjid,4.7,0.9187661
6,19007,Masjid Istiqlal Jakarta,MPNet,Masjid Jayakarta,Jatinegara East Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA TIMUR,PULOGADUNG,masjid,4.0,0.9185438
7,14388,Masjid Istiqlal Jakarta,MPNet,Masjid Jami Jayakarta,South Mangga Dua Central Jakarta City Jakarta Indonesia,DAERAH KHUSUS IBUKOTA JAKARTA,KOTA ADMINISTRASI JAKARTA PUSAT,SAWAH BESAR,masjid,4.7,0.91582674
8,158770,Masjid Istiqlal Jakarta,MPNet,Masjid Indonesia Bertauhid, Karangkobar Wetan Karangkobar Kec Karangkobar Kab Banjarnegara Jawa Tengah 53453 Indonesia,JAWA TENGAH,BANJARNEGARA,BANJARNEGARA,masjid,5.0,0.9147145
9,105399,Masjid Istiqlal Jakarta,MPNet,Masjid Indonesia Bertauhid, Karangkobar Wetan Karangkobar Kec Karangkobar Kab Banjarnegara Jawa Tengah 53453 Indonesia,JAWA TENGAH,BANJARNEGARA,KARANGKOBAR,masjid,5.0,0.9147145
